"Site","Year","Latitude","Longitude"
"CBOD _ 12 _ 2025",2025,"55.2068259494106","-162.71328192546"
"CBOD _ 13 _ 2025",2025,"55.2065478116638","-162.71245739777"
"CBOD _ 14 _ 2025",2025,"55.2069308218291","-162.71355403507"
"CBOD _ 15 _ 2025",2025,"55.2045272119654","-162.70931621264"
"CBOD _ 16 _ 2025",2025,"55.2069287721512","-162.71319696738"
"CBOD _ 17 _ 2025",2025,"55.2066792330963","-162.71303498656"
"CBOD _ 18 _ 2025",2025,"55.1960406207499","-162.70059863096"
"CBOD _ 19 _ 2025",2025,"55.206520035709","-162.71238528711"
"CBOD _ 20 _ 2025",2025,"55.1675125117257","-162.79721172788"
"CBOD _ 21 _ 2025",2025,"55.2044573277316","-162.70932396008"
"CBOD _ 22 _ 2025",2025,"55.2066383701755","-162.71327476902"
"CBOD _ 23 _ 2025",2025,"55.2068750353537","-162.71287760036"
"CBOD _ 24 _ 2025",2025,"55.2065873243695","-162.71306879155"
"CBOD _ 25 _ 2025",2025,"55.2068572827777","-162.71278873524"
"CBOD _ 26 _ 2025",2025,"55.2068948834142","-162.71345704517"
"CBOD _ 27 _ 2025",2025,"55.1960838466294","-162.70070117008"
"CBOD _ 28 _ 2025",2025,"55.196042841386","-162.70060300464"
"CBOD _ 29 _ 2025",2025,"55.2068247200097","-162.71325859384"
"CBOD _ 30 _ 2025",2025,"55.2069047891","-162.71296662786"
"CBOD _ 31 _ 2025",2025,"55.20687966991","-162.7134465226"
"CBOD _ 32 _ 2025",2025,"55.206873047546","-162.71301977216"
"CBOD _ 33 _ 2025",2025,"55.2067955960111","-162.71323435176"
"CBOD _ 34 _ 2025",2025,"55.2068374412129","-162.71278892017"
"CBOD _ 35 _ 2025",2025,"55.2067433297384","-162.71344202917"
"CBOD _ 36 _ 2025",2025,"55.2068359712673","-162.71359721538"
"CBOD _ 37 _ 2025",2025,"55.2065650150068","-162.71261583860"
"CBOD _ 38 _ 2025",2025,"55.2070505285221","-162.71330343249"
"CBOD _ 39 _ 2025",2025,"55.2065248190798","-162.71232298832"
"CBOD _ 40 _ 2025",2025,"55.2069562316837","-162.71343110500"
"CBCT _ 1 _ 2025",2025,"55.1471460451422","-162.59873396477"
"CBCT _ 2 _ 2025",2025,"55.2055252969369","-162.7142887049"
"CBCT _ 3 _ 2025",2025,"55.2066691364391","-162.71404727667"
