"Site","name","label","Year","pointname","infestationname","Count","geometry","dotcolor"
"CBCT_84_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_84","Cold Bay Creeping Thistle",0,"c(-162.714249402796"," 55.2056521209468)"
"CBCT_85_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_85","Cold Bay Creeping Thistle",1,"c(-162.714826278811"," 55.2054398402938)"
"CBCT_86_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_86","Cold Bay Creeping Thistle",2,"c(-162.71491609734"," 55.2046232582964)"
"CBCT_87_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_87","Cold Bay Creeping Thistle",1,"c(-162.714085345844"," 55.2052809964364)"
"CBCT_88_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_88","Cold Bay Creeping Thistle",0,"c(-162.714641425362"," 55.2054223872829)"
"CBCT_89_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_89","Cold Bay Creeping Thistle",0,"c(-162.714363436599"," 55.2055834728552)"
"CBCT_9_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_9","Cold Bay Creeping Thistle",0,"c(-162.713210899031"," 55.206106402328)"
"CBCT_90_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_90","Cold Bay Creeping Thistle",0,"c(-162.714870786907"," 55.2046304091658)"
"CBCT_91_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_91","Cold Bay Creeping Thistle",0,"c(-162.713162490319"," 55.2062836831436)"
"CBCT_92_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_92","Cold Bay Creeping Thistle",2,"c(-162.713349886194"," 55.2063243248345)"
"CBCT_93_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_93","Cold Bay Creeping Thistle",0,"c(-162.713195186757"," 55.2065161574975)"
"CBCT_94_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_94","Cold Bay Creeping Thistle",1,"c(-162.71411224788"," 55.2059648578267)"
"CBCT_96_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_96","Cold Bay Creeping Thistle",0,"c(-162.714697909755"," 55.2048153762809)"
"CBCT_98_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_98","Cold Bay Creeping Thistle",0,"c(-162.715085127127"," 55.2049896289321)"
"CBCT_99_2023","CBCT","Cold Bay Creeping Thistle","2023","CBCT_99","Cold Bay Creeping Thistle",0,"c(-162.714228125356"," 55.2065202146699)"
"CBOD_1_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_1","Cold Bay Oxeye Daisy",0,"c(-162.700359876865"," 55.1961838815559)"
"CBOD_10_2023","CBOD","Cold Bay Oxeye Daisy","2023","CBOD_10","Cold Bay Oxeye Daisy",0,"c(-162.712949982415"," 55.2066324324009)"
