pointname,infestationname,Year,Count,geometry,dotcolor,Notes
CBOH 101,Cold Bay Orange Hawkweed,2023,0,c(-162.713399327627, 55.2044472833499),#FD0E35
CBOH 102,Cold Bay Orange Hawkweed,2023,0,c(-162.722761668033, 55.2030670730584),gray
CBOH 103,Cold Bay Orange Hawkweed,2023,0,c(-162.716716671434, 55.2009517871807),#FD0E35
CBOH 104,Cold Bay Orange Hawkweed,2023,0,c(-162.72316023561, 55.2031298552651),gray
CBOH 105,Cold Bay Orange Hawkweed,2023,1,c(-162.723045957943, 55.2028586084762),gray
CBOH 106,Cold Bay Orange Hawkweed,2023,0,c(-162.721700489088, 55.2010524996403),gray
CBOH 107,Cold Bay Orange Hawkweed,2023,0,c(-162.721980904922, 55.2012770995421),gray
CBOH 108,Cold Bay Orange Hawkweed,2023,0,c(-162.721946916054, 55.2032956163793),gray
CBOH 109,Cold Bay Orange Hawkweed,2023,0,c(-162.715600991061, 55.2007027637691),black
CBOH 11,Cold Bay Orange Hawkweed,2023,0,c(-162.716497535364, 55.2010855858911),#FD0E35
CBOH 110,Cold Bay Orange Hawkweed,2023,0,c(-162.722068183407, 55.2023573863459),gray
CBOH 111,Cold Bay Orange Hawkweed,2023,0,c(-162.722266343095, 55.2020277527185),gray
CBOH 112,Cold Bay Orange Hawkweed,2023,1,c(-162.716773172096, 55.2010709554031),#5FA777
CBOH 113,Cold Bay Orange Hawkweed,2023,0,c(-162.721142884615, 55.2032130884769),gray
CBOH 114,Cold Bay Orange Hawkweed,2023,0,c(-162.720996570715, 55.2014006868947),gray
CBOH 115,Cold Bay Orange Hawkweed,2023,0,c(-162.722263445603, 55.2019309761991),gray
CBOH 116,Cold Bay Orange Hawkweed,2023,0,c(-162.721514264149, 55.2033398098671),gray
CBOH 117,Cold Bay Orange Hawkweed,2023,0,c(-162.7220035034, 55.2024368475266),gray
CBOH 118,Cold Bay Orange Hawkweed,2023,0,c(-162.721950574622, 55.201943749428),gray
CBOH 119,Cold Bay Orange Hawkweed,2023,0,c(-162.72096333537, 55.2035481836475),gray
CBOH 12,Cold Bay Orange Hawkweed,2023,0,c(-162.722674287333, 55.2026365485345),gray
CBOH 120,Cold Bay Orange Hawkweed,2023,0,c(-162.722330740758, 55.2021683797606),gray
CBOH 14,Cold Bay Orange Hawkweed,2023,0,c(-162.722449827842, 55.2018258493625),gray
CBOH 15,Cold Bay Orange Hawkweed,2023,0,c(-162.72203274427, 55.202788972059),gray
CBOH 16,Cold Bay Orange Hawkweed,2023,0,c(-162.723090598556, 55.2032178427793),gray
CBOH 17,Cold Bay Orange Hawkweed,2023,0,c(-162.722095195781, 55.2012523274781),gray
CBOH 18,Cold Bay Orange Hawkweed,2023,9,c(-162.721747971545, 55.2030902217785),gray
CBOH 19,Cold Bay Orange Hawkweed,2023,0,c(-162.721849537472, 55.203453549234),gray
CBOH 2,Cold Bay Orange Hawkweed,2023,0,c(-162.721759102632, 55.2020173518294),gray
CBOH 20,Cold Bay Orange Hawkweed,2023,0,c(-162.72226296736, 55.2028238424131),gray
CBOH 21,Cold Bay Orange Hawkweed,2023,0,c(-162.722393503097, 55.2029020747218),gray
CBOH 23,Cold Bay Orange Hawkweed,2023,0,c(-162.721310879307, 55.2036261834272),gray
CBOH 24,Cold Bay Orange Hawkweed,2023,0,c(-162.722775386933, 55.2029486527828),gray
CBOH 25,Cold Bay Orange Hawkweed,2023,0,c(-162.715693316807, 55.2006932925965),black
CBOH 26,Cold Bay Orange Hawkweed,2023,0,c(-162.721281252194, 55.2013458955857),gray
CBOH 27,Cold Bay Orange Hawkweed,2023,0,c(-162.716748879361, 55.2011578246935),black
CBOH 28,Cold Bay Orange Hawkweed,2023,0,c(-162.716691894271, 55.2008806804186),black
CBOH 29,Cold Bay Orange Hawkweed,2023,0,c(-162.722874028608, 55.203276030197),gray
CBOH 3,Cold Bay Orange Hawkweed,2023,0,c(-162.715765677111, 55.2006367223163),black
CBOH 30,Cold Bay Orange Hawkweed,2023,0,c(-162.721482137907, 55.2018941586127),gray
CBOH 31,Cold Bay Orange Hawkweed,2023,0,c(-162.721777103472, 55.2033788720742),gray
CBOH 32,Cold Bay Orange Hawkweed,2023,0,c(-162.720854668801, 55.203258287209),gray
CBOH 33,Cold Bay Orange Hawkweed,2023,0,c(-162.721831864717, 55.2024517466322),gray
CBOH 34,Cold Bay Orange Hawkweed,2023,0,c(-162.722133885155, 55.2019677404305),gray
CBOH 35,Cold Bay Orange Hawkweed,2023,0,c(-162.713869661689, 55.2044497182279),#FD0E35
CBOH 36,Cold Bay Orange Hawkweed,2023,0,c(-162.721751702297, 55.2011613926901),gray
CBOH 37,Cold Bay Orange Hawkweed,2023,0,c(-162.721026130844, 55.2014012515333),gray
CBOH 38,Cold Bay Orange Hawkweed,2023,4,c(-162.721384145824, 55.2020083358078),gray
CBOH 39,Cold Bay Orange Hawkweed,2023,0,c(-162.721810214284, 55.2012500726087),gray
CBOH 4,Cold Bay Orange Hawkweed,2023,0,c(-162.716712203393, 55.2011438472088),black
CBOH 40,Cold Bay Orange Hawkweed,2023,0,c(-162.72174792392, 55.2021440065452),gray
CBOH 41,Cold Bay Orange Hawkweed,2023,0,c(-162.721583922453, 55.2011590858849),gray
CBOH 42,Cold Bay Orange Hawkweed,2023,0,c(-162.714428211344, 55.2006040600797),#FD0E35
CBOH 43,Cold Bay Orange Hawkweed,2023,0,c(-162.722073799465, 55.2030091826769),gray
CBOH 44,Cold Bay Orange Hawkweed,2023,0,c(-162.715357130808, 55.2007798072767),black
CBOH 45,Cold Bay Orange Hawkweed,2023,0,c(-162.714889426609, 55.2006649763131),black
CBOH 46,Cold Bay Orange Hawkweed,2023,0,c(-162.721931980156, 55.2027122911715),gray
CBOH 47,Cold Bay Orange Hawkweed,2023,0,c(-162.716325805933, 55.2010512046593),black
CBOH 48,Cold Bay Orange Hawkweed,2023,0,c(-162.722577855478, 55.2032551118905),gray
CBOH 49,Cold Bay Orange Hawkweed,2023,0,c(-162.723132829926, 55.2029439906294),gray
CBOH 5,Cold Bay Orange Hawkweed,2023,0,c(-162.721735912992, 55.201783579795),gray
CBOH 50,Cold Bay Orange Hawkweed,2023,0,c(-162.722282525599, 55.2019028057563),gray
CBOH 51,Cold Bay Orange Hawkweed,2023,0,c(-162.721814311593, 55.2019974780677),gray
CBOH 52,Cold Bay Orange Hawkweed,2023,0,c(-162.721065441146, 55.2031621769095),gray
CBOH 53,Cold Bay Orange Hawkweed,2023,0,c(-162.722353138723, 55.2027773017233),gray
CBOH 54,Cold Bay Orange Hawkweed,2023,0,c(-162.723211496286, 55.203222188919),gray
CBOH 55,Cold Bay Orange Hawkweed,2023,0,c(-162.722433624839, 55.2020556125238),gray
CBOH 56,Cold Bay Orange Hawkweed,2023,0,c(-162.721600349702, 55.2018204638781),gray
CBOH 57,Cold Bay Orange Hawkweed,2023,0,c(-162.716091324879, 55.2009566815086),black
CBOH 58,Cold Bay Orange Hawkweed,2023,0,c(-162.721399002951, 55.201327005288),gray
CBOH 59,Cold Bay Orange Hawkweed,2023,0,c(-162.716247947903, 55.2006852163099),black
CBOH 6,Cold Bay Orange Hawkweed,2023,3,c(-162.714497646302, 55.2006608406517),#FD0E35
CBOH 60,Cold Bay Orange Hawkweed,2023,0,c(-162.72112896686, 55.2032667979243),gray
CBOH 61,Cold Bay Orange Hawkweed,2023,0,c(-162.716052863531, 55.200652058375),black
CBOH 63,Cold Bay Orange Hawkweed,2023,0,c(-162.722124548863, 55.2028068675251),gray
CBOH 64,Cold Bay Orange Hawkweed,2023,2,c(-162.722508637216, 55.2029225669445),gray
CBOH 65,Cold Bay Orange Hawkweed,2023,1,c(-162.720906269472, 55.2012906705739),gray
CBOH 66,Cold Bay Orange Hawkweed,2023,0,c(-162.716769315979, 55.2012160187256),black
CBOH 67,Cold Bay Orange Hawkweed,2023,0,c(-162.721991384115, 55.2022437101448),gray
CBOH 68,Cold Bay Orange Hawkweed,2023,4,c(-162.71642610903, 55.2010109073769),#5FA777
CBOH 69,Cold Bay Orange Hawkweed,2023,0,c(-162.715669904943, 55.2006600407136),black
CBOH 7,Cold Bay Orange Hawkweed,2023,9,c(-162.72167664634, 55.2023412796902),gray
CBOH 70,Cold Bay Orange Hawkweed,2023,0,c(-162.72211020055, 55.2021885888336),gray
CBOH 71,Cold Bay Orange Hawkweed,2023,0,c(-162.721600131004, 55.2012572250648),gray
CBOH 72,Cold Bay Orange Hawkweed,2023,9,c(-162.722364806918, 55.2022378473524),gray
CBOH 73,Cold Bay Orange Hawkweed,2023,0,c(-162.721495679217, 55.201411142545),gray
CBOH 74,Cold Bay Orange Hawkweed,2023,0,c(-162.723066909994, 55.2027919406496),gray
CBOH 75,Cold Bay Orange Hawkweed,2023,0,c(-162.71589763532, 55.2007517223261),black
CBOH 76,Cold Bay Orange Hawkweed,2023,0,c(-162.721412752397, 55.2019716052613),gray
CBOH 77,Cold Bay Orange Hawkweed,2023,0,c(-162.716643846245, 55.2007908156993),black
CBOH 79,Cold Bay Orange Hawkweed,2023,0,c(-162.72217978112, 55.2033493788534),gray
CBOH 8,Cold Bay Orange Hawkweed,2023,0,c(-162.722195113861, 55.2024271674987),gray
CBOH 80,Cold Bay Orange Hawkweed,2023,0,c(-162.716188342083, 55.2006519375155),black
CBOH 81,Cold Bay Orange Hawkweed,2023,0,c(-162.722002774565, 55.2020579245748),gray
CBOH 82,Cold Bay Orange Hawkweed,2023,0,c(-162.722022397912, 55.2027459530871),gray
CBOH 83,Cold Bay Orange Hawkweed,2023,0,c(-162.722626065348, 55.2032723776912),gray
CBOH 84,Cold Bay Orange Hawkweed,2023,0,c(-162.72249065681, 55.2031624650088),gray
CBOH 85,Cold Bay Orange Hawkweed,2023,0,c(-162.722879885751, 55.2030153492487),gray
CBOH 86,Cold Bay Orange Hawkweed,2023,0,c(-162.720976036493, 55.203374885947),gray
CBOH 87,Cold Bay Orange Hawkweed,2023,0,c(-162.723047645262, 55.2032378264783),gray
CBOH 88,Cold Bay Orange Hawkweed,2023,0,c(-162.722480254967, 55.2027774057797),gray
CBOH 89,Cold Bay Orange Hawkweed,2023,0,c(-162.721969654299, 55.2019739227089),gray
CBOH 9,Cold Bay Orange Hawkweed,2023,0,c(-162.721479075741, 55.2013036252879),gray
CBOH 90,Cold Bay Orange Hawkweed,2023,0,c(-162.721926425512, 55.2011580579868),gray
CBOH 91,Cold Bay Orange Hawkweed,2023,0,c(-162.721992679951, 55.202404877153),gray
CBOH 92,Cold Bay Orange Hawkweed,2023,0,c(-162.722410680983, 55.2031810738362),gray
CBOH 93,Cold Bay Orange Hawkweed,2023,0,c(-162.714630392375, 55.2005940817722),black
CBOH 94,Cold Bay Orange Hawkweed,2023,4,c(-162.715966788253, 55.2008714871599),black
CBOH 95,Cold Bay Orange Hawkweed,2023,0,c(-162.723425288978, 55.203196143321),gray
CBOH 96,Cold Bay Orange Hawkweed,2023,0,c(-162.722174408866, 55.2031900937391),gray
CBOH 97,Cold Bay Orange Hawkweed,2023,1,c(-162.715665393474, 55.2008282211007),#FD0E35
CBOH 98,Cold Bay Orange Hawkweed,2023,0,c(-162.721868377731, 55.2030479540828),gray
CBOH 99,Cold Bay Orange Hawkweed,2023,0,c(-162.716885506069, 55.2009920845981),#FD0E35
UGOH 1,Ugashik Orange Hawkweed,2023,3,c(-157.018466072996, 57.5677584989667),#5FA777
UGOH 10,Ugashik Orange Hawkweed,2023,1,c(-157.014839298086, 57.5697169408632),#5FA777
